District	State	Pop11	Growth11	SR11	Lit11
Kaithal	Haryana	"1,074,304"	13.55%	881	69.15
Gadchiroli	Maharashtra	"1,072,942"	10.58%	982	74.36
Golaghat	Assam	"1,066,888"	12.75%	964	77.43
Shahdol	Madhya Pradesh	"1,066,063"	17.39%	974	66.67
Saraikela Kharsawan	Jharkhand	"1,065,056"	25.47%	956	67.7
Gadag	Karnataka	"1,064,570"	9.54%	982	75.12
Karur	Tamil Nadu	"1,064,493"	13.77%	1015	75.6
Rohtak	Haryana	"1,061,204"	12.88%	867	80.22
Chandigarh	Chandigarh	"1,055,450"	17.19%	818	86.05
Mandla	Madhya Pradesh	"1,054,905"	17.97%	1008	66.87
Chatra	Jharkhand	"1,042,886"	31.77%	953	60.18
Palwal	Haryana	"1,042,708"	25.76%	880	69.32
Lakhimpur	Assam	"1,042,137"	17.22%	968	77.2
Sambalpur	Orissa	"1,041,099"	11.27%	976	76.22
Sirohi	Rajasthan	"1,036,346"	21.76%	940	55.25
Mahasamund	Chhattisgarh	"1,032,754"	20.05%	1017	71.02
Gumla	Jharkhand	"1,025,213"	23.16%	993	65.73
Jhabua	Madhya Pradesh	"1,025,048"	30.70%	990	43.3
Chamarajanagar	Karnataka	"1,020,791"	5.73%	993	61.43
Panna	Madhya Pradesh	"1,016,520"	18.67%	905	64.79
Goalpara	Assam	"1,008,183"	22.64%	964	67.37
Baramula	Jammu and Kashmir	"1,008,039"	19.45%	885	64.63
Lakhisarai	Bihar	"1,000,912"	24.77%	902	62.42
Mandi	Himachal Pradesh	"999,777"	10.92%	1007	81.53
Moga	Punjab	"995,746"	0.00%	893	70.68
Mohali	Punjab	"994,628"	0.00%	879	83.8
Chitrakoot	Uttar Pradesh	"991,730"	29.43%	879	65.05
Bangalore Rural	Karnataka	"990,923"	16.45%	946	77.93
Rayagada	Orissa	"967,911"	16.46%	1051	49.76
Kurukshetra	Haryana	"964,655"	16.86%	888	76.31
Nayagarh	Orissa	"962,789"	11.37%	915	80.42
Jhajjar	Haryana	"958,405"	8.90%	862	80.65
Morigaon	Assam	"957,423"	23.34%	967	68.03
Karbi Anglong	Assam	"956,313"	17.58%	951	69.25
Nainital	Uttarakhand	"954,605"	25.13%	934	83.88
Puducherry	Puducherry	"950,289"	29.23%	1029	85.44
Baksa	Assam	"950,075"	10.74%	974	69.25
Ramgarh	Jharkhand	"949,443"	13.10%	921	73.17
Fatehabad	Haryana	"942,011"	16.85%	902	67.92
Darrang	Assam	"928,500"	22.19%	954	63.08
Mahendragarh	Haryana	"922,088"	13.48%	895	77.72
Muktsar	Punjab	"901,896"	0.00%	896	65.81
Pakur	Jharkhand	"900,422"	28.33%	989	48.82
Rewari	Haryana	"900,332"	17.64%	898	80.99
North Delhi	Delhi	"887,978"	13.62%	869	86.85
Kokrajhar	Assam	"887,142"	5.21%	959	65.22
South Tripura	Tripura	"876,001"	14.15%	957	84.66
Mahoba	Uttar Pradesh	"875,958"	23.64%	878	65.27
Kupwara	Jammu and Kashmir	"870,354"	33.82%	835	64.51
Pratapgarh	Rajasthan	"867,848"	22.78%	983	55.97
Jashpur	Chhattisgarh	"851,669"	14.60%	1005	67.92
Sindhudurg	Maharashtra	"849,651"	-2.21%	1036	85.56
Ashoknagar	Madhya Pradesh	"845,071"	22.66%	904	66.42
Udalguri	Assam	"831,668"	9.61%	973	65.41
Neemuch	Madhya Pradesh	"826,067"	13.77%	954	70.8
East Khasi Hills	Meghalaya	"825,922"	24.96%	1011	84.15
Kabirdham	Chhattisgarh	"822,526"	40.71%	996	60.85
North Goa	Goa	"818,008"	7.84%	963	89.57
Wayanad	Kerala	"817,420"	4.71%	1035	89.03
Kapurthala	Punjab	"815,168"	0.00%	912	79.07
Shimla	Himachal Pradesh	"814,010"	12.67%	915	83.64
Tapi	Gujarat	"807,022"	12.14%	1007	68.26
Dhamtari	Chhattisgarh	"799,781"	13.19%	1010	78.36
Jamtara	Jharkhand	"791,042"	21.12%	954	64.59
Datia	Madhya Pradesh	"786,754"	18.46%	873	72.63
Nalbari	Assam	"771,639"	11.99%	949	78.63
Mansa	Punjab	"769,751"	0.00%	883	61.83
Burhanpur	Madhya Pradesh	"757,847"	19.37%	951	64.36
Ariyalur	Tamil Nadu	"754,894"	8.54%	1015	71.34
Badgam	Jammu and Kashmir	"753,745"	24.14%	894	56.08
Anuppur	Madhya Pradesh	"749,237"	12.30%	976	67.88
Kanker	Chhattisgarh	"748,941"	15.06%	1006	70.29
Bongaigaon	Assam	"738,804"	20.59%	966	69.74
The Nilgiris	Tamil Nadu	"735,394"	-3.51%	1042	85.2
Kandhamal	Orissa	"733,110"	13.10%	1037	64.13
Alirajpur	Madhya Pradesh	"728,999"	19.45%	1011	36.1
Latehar	Jharkhand	"726,978"	29.61%	967	59.51
Kodarma	Jharkhand	"716,259"	43.42%	950	66.84
Dindori	Madhya Pradesh	"704,524"	21.32%	1002	63.9
Arwal	Bihar	"700,843"	18.89%	928	67.43
North Tripura	Tripura	"693,947"	17.44%	967	87.5
Sheopur	Madhya Pradesh	"687,861"	22.94%	901	57.43
Pauri Garhwal	Uttarakhand	"687,271"	-1.41%	1103	82.02
Dhemaji	Assam	"686,133"	19.97%	953	72.7
Rupnagar	Punjab	"684,627"	0.00%	915	82.19
Jaisalmer	Rajasthan	"669,919"	31.81%	852	57.22
Hailakandi	Assam	"659,296"	21.45%	951	74.33
Korea	Chhattisgarh	"658,917"	12.38%	968	70.64
Sheohar	Bihar	"656,246"	27.19%	893	53.78
Umaria	Madhya Pradesh	"644,758"	24.96%	950	65.89
West Garo Hills	Meghalaya	"643,291"	24.09%	984	67.58
Rajouri	Jammu and Kashmir	"642,415"	32.93%	860	68.17
South Goa	Goa	"640,537"	8.73%	986	87.59
Sheikhpura	Bihar	"636,342"	21.09%	930	63.86
Almora	Uttarakhand	"622,506"	-1.28%	1139	80.47
Tehri Garhwal	Uttarakhand	"618,931"	2.35%	1077	76.36
Faridkot	Punjab	"617,508"	0.00%	890	69.55
Kathua	Jammu and Kashmir	"616,435"	20.53%	890	73.09
Malkangiri	Orissa	"613,192"	21.62%	1020	48.54
Shahid Bhagat Singh Nagar	Punjab	"612,310"	0.00%	954	79.78
Nuapada	Orissa	"610,382"	15.02%	1021	57.35
Subarnapur	Orissa	"610,183"	12.61%	960	74.42
Fatehgarh Sahib	Punjab	"600,163"	0.00%	871	79.35
Simdega	Jharkhand	"599,578"	16.58%	997	67.99
Barnala	Punjab	"595,527"	0.00%	876	67.82
Narmada	Gujarat	"590,297"	14.75%	961	72.31
Porbandar	Gujarat	"585,449"	9.06%	950	75.78
Central Delhi	Delhi	"582,320"	-9.91%	892	85.14
Solan	Himachal Pradesh	"580,320"	15.93%	880	83.68
Jharsuguda	Orissa	"579,505"	13.69%	953	78.86
Gajapati	Orissa	"577,817"	11.37%	1043	53.49
Harda	Madhya Pradesh	"570,465"	20.25%	935	72.5
Perambalur	Tamil Nadu	"565,223"	14.50%	1003	74.32
Panchkula	Haryana	"561,293"	19.83%	873	81.88
Pulwama	Jammu and Kashmir	"560,440"	27.00%	912	63.48
Udhampur	Jammu and Kashmir	"554,985"	20.78%	870	68.49
Kodagu	Karnataka	"554,519"	1.09%	1019	82.61
Dantewada	Chhattisgarh	"533,638"	12.08%	1020	42.12
Khunti	Jharkhand	"531,885"	22.32%	997	63.86
Sirmaur	Himachal Pradesh	"529,855"	15.54%	918	78.8
Una	Himachal Pradesh	"521,173"	16.26%	976	86.53
Chamba	Himachal Pradesh	"519,080"	12.63%	986	72.17
Imphal West	Manipur	"517,992"	16.56%	1031	86.08
Pithoragarh	Uttarakhand	"483,439"	4.58%	1020	82.25
Chirang	Assam	"482,162"	11.34%	969	63.55
Punch	Jammu and Kashmir	"476,835"	27.97%	893	66.74
Lohardaga	Jharkhand	"461,790"	26.68%	985	67.61
Imphal East	Manipur	"456,113"	15.51%	1017	81.95
Hamirpur	Himachal Pradesh	"454,768"	10.19%	1095	88.15
Baudh	Orissa	"441,162"	18.16%	991	71.61
Kullu	Himachal Pradesh	"437,903"	14.76%	942	79.4
Kulgam	Jammu and Kashmir	"424,483"	7.73%	951	59.23
Thoubal	Manipur	"422,168"	15.94%	1002	74.47
Doda	Jammu and Kashmir	"409,936"	28.00%	919	64.68
Aizawl	Mizoram	"400,309"	22.92%	1009	97.89
Jaintia Hills	Meghalaya	"395,124"	32.10%	1013	61.64
Bandipora	Jammu and Kashmir	"392,232"	28.65%	889	56.28
Chamoli	Uttarakhand	"391,605"	5.74%	1019	82.65
West Khasi Hills	Meghalaya	"383,461"	29.53%	980	77.87
Bilaspur	Himachal Pradesh	"381,956"	12.05%	981	84.59
Dimapur	Nagaland	"378,811"	0.00%	919	84.79
Dhalai	Tripura	"378,230"	22.85%	944	85.72
Dadra and Nagar Haveli	Dadra and Nagar Haveli	"343,709"	55.88%	774	76.24
Uttarkashi	Uttarakhand	"330,086"	11.89%	958	75.81
Samba	Jammu and Kashmir	"318,898"	17.01%	886	81.41
East Garo Hills	Meghalaya	"317,917"	26.87%	972	73.95
Reasi	Jammu and Kashmir	"314,667"	27.04%	890	58.15
Debagarh	Orissa	"312,520"	14.01%	975	72.57
Ganderbal	Jammu and Kashmir	"297,446"	36.50%	874	58.04
Ramban	Jammu and Kashmir	"283,713"	31.99%	902	54.27
East Sikkim	Sikkim	"283,583"	15.73%	873	83.85
Churachandpur	Manipur	"274,143"	20.29%	975	82.78
Kohima	Nagaland	"267,988"	0.00%	928	85.23
Shupiyan	Jammu and Kashmir	"266,215"	25.97%	951	60.76
Bageshwar	Uttarakhand	"259,898"	4.18%	1090	80.01
Champawat	Uttarakhand	"259,648"	15.63%	980	79.83
Ri Bhoi	Meghalaya	"258,840"	34.26%	953	75.67
Bijapur	Chhattisgarh	"255,230"	8.78%	984	40.86
Mon	Nagaland	"250,260"	0.00%	899	56.99
Rudraprayag	Uttarakhand	"242,285"	6.53%	1114	81.3
South Andaman	Andaman And Nicobar Islands	"238,142"	14.23%	871	89.13
Bishnupur	Manipur	"237,399"	13.93%	999	75.85
Kishtwar	Jammu and Kashmir	"230,696"	20.88%	920	56.2
The Dangs	Gujarat	"228,291"	22.26%	1006	75.16
Dima Hasao	Assam	"214,102"	13.84%	932	77.54
Karaikal	Puducherry	"200,222"	17.23%	1047	87.05
Tuensang	Nagaland	"196,596"	0.00%	929	73.08
Mokokchung	Nagaland	"194,622"	0.00%	925	91.62
Senapati	Manipur	"193,744"	-31.69%	959	74.13
Daman	Daman and Diu	"191,173"	67.71%	534	88.07
Ukhrul	Manipur	"183,998"	30.70%	943	81.35
Papumpare	Arunachal Pradesh	"176,573"	44.73%	980	79.95
Wokha	Nagaland	"166,343"	0.00%	968	87.69
Phek	Nagaland	"163,418"	0.00%	951	78.05
Lunglei	Mizoram	"161,428"	17.64%	947	88.86
Changlang	Arunachal Pradesh	"148,226"	18.18%	926	59.8
South Sikkim	Sikkim	"146,850"	11.65%	915	81.42
Lohit	Arunachal Pradesh	"145,726"	16.59%	912	68.18
Chandel	Manipur	"144,182"	21.85%	933	71.11
South Garo Hills	Meghalaya	"142,334"	40.95%	945	71.72
New Delhi	Delhi	"142,004"	-20.72%	822	88.34
Kargil	Jammu and Kashmir	"140,802"	18.02%	810	71.34
Zunheboto	Nagaland	"140,757"	0.00%	976	85.26
Tamenglong	Manipur	"140,651"	26.15%	943	70.05
Narayanpur	Chhattisgarh	"139,820"	19.16%	994	48.62
West Sikkim	Sikkim	"136,435"	10.69%	942	77.39
Leh	Jammu and Kashmir	"133,487"	13.87%	690	77.2
Champhai	Mizoram	"125,745"	16.01%	984	95.91
Lawngtlai	Mizoram	"117,894"	60.14%	945	65.88
West Siang	Arunachal Pradesh	"112,274"	8.04%	930	66.46
Tirap	Arunachal Pradesh	"111,975"	11.61%	944	52.19
North And Middle Andaman	Andaman And Nicobar Islands	"105,597"	-0.02%	925	83.91
East Siang	Arunachal Pradesh	"99,214"	13.52%	980	72.54
Peren	Nagaland	"95,219"	0.00%	915	77.95
Kurung Kumey	Arunachal Pradesh	"92,076"	116.56%	1032	48.75
Mamit	Mizoram	"86,364"	37.56%	927	84.93
Kinnaur	Himachal Pradesh	"84,121"	7.39%	819	80
Kolasib	Mizoram	"83,955"	27.28%	956	93.5
West Kameng	Arunachal Pradesh	"83,947"	12.53%	819	67.07
Upper Subansiri	Arunachal Pradesh	"83,448"	50.78%	998	63.8
Lower Subansiri	Arunachal Pradesh	"83,030"	49.00%	984	74.35
East Kameng	Arunachal Pradesh	"78,690"	37.62%	1029	60.02
Kiphire	Nagaland	"74,004"	0.00%	956	69.54
Serchhip	Mizoram	"64,937"	20.56%	977	97.91
Lakshadweep	Lakshadweep	"64,473"	6.30%	946	91.85
Saiha	Mizoram	"56,574"	-7.34%	979	90.01
Yanam	Puducherry	"55,626"	77.19%	1038	79.47
Lower Dibang Valley	Arunachal Pradesh	"54,080"	7.20%	928	69.13
Diu	Daman and Diu	"52,074"	17.77%	1031	83.46
Longleng	Nagaland	"50,484"	0.00%	905	72.17
Tawang	Arunachal Pradesh	"49,977"	28.40%	714	59
North Sikkim	Sikkim	"43,709"	6.53%	767	78.01
Mahe	Puducherry	"41,816"	13.54%	1184	97.87
Nicobars	Andaman And Nicobar Islands	"36,842"	-12.42%	777	78.06
Upper Siang	Arunachal Pradesh	"35,320"	5.87%	889	59.99
Lahul and Spiti	Himachal Pradesh	"31,564"	-5.00%	903	76.81
Anjaw	Arunachal Pradesh	"21,167"	14.19%	839	56.46
Dibang Valley	Arunachal Pradesh	"8,004"	10.07%	813	64.1
